Position,247 Comp.,247 or Prepstar,Career Summary,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Position (group),Rivals or NRA,Offense/Defense,Pos1,UM rk,☆S
T,-,-,Played out eligibility,1992 (Moeller),1990-'94 (Moeller),Lemming: #17 OT,6'5/285,1996,Thomas Guynes,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OT,20,4.21
T,"0.9244 (#12 OT), #160 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"81 (#12 OT), #148 OVR",6'8/272,2013,Taylor Lewan,1st Day (Rnd 1-3),1st,"4* (#20 OT), #274 OVR",Former players,Former players,Offense,"5.8 (#16 OT), #194 OVR",True,OT,21,4.21
T,"0.9121 (#7 SDE), #219 OVR","95 (#4 SDE), #109 OVR",Transfer: playing time,2017 (Harbaugh),2015-> (Harbaugh),"80 (#30 DE), #38 MW",6'5/280,2018,James Hudson,2nd Day (Rnd 4-7),4th,"4* (#15 DT), #273 OVR",Former players,Former players,Offense,"5.8 (#8 SDE), #240 OVR",True,OT,22,4.21
T,"0.9248 (#17 OT), #183 OVR","90 (#32 OT), #19 LA",Transfer: playing time,2021 (Harbaugh),2015-> (Harbaugh),"88 (#2 OT), #16 OVR",6'6/300,2021,Willie Allen,Still in College,2022,4* (#12 OT),Former players,Former players,Offense,"5.7 (#37 OT), #23 LA",True,OT,23,4.2
T,-,Prepstar: #3 OL MW,Played out eligibility,1998 (Carr),1995-'07 (Carr),-,6'7/302,2002,Joe Denay,Not Drafted,Not Drafted,"Superprep: #23 OL, #24 MW",Former players,Former players,Offense,-,True,OT,24,4.12
T,-,-,Degree and a Handshake,1992 (Moeller),1990-'94 (Moeller),Lemming: #43 OT,6'5/270,1995,Eric Wendt,Not Drafted,Not Drafted,Superprep: #16 OL,Former players,Former players,Offense,-,True,OT,25,4.12
T,"0.9062 (#16 OT), #268 OVR","94 (#9 OT), #126 OVR",Early NFL,2018 (Harbaugh),2015-> (Harbaugh),"77 (#72 OT), #66 MW",6'5/273,2020,Jalen Mayfield,1st Day (Rnd 1-3),3rd,"4* (#15 OT), #206 OVR",Former players,Former players,Offense,"5.8 (#17 OT), #8 MI",True,OT,26,4.11
T,"0.9074 (#22 OT), #235 OVR","92 (#23 OT), #220 OVR",Degree/Medical,2015 (Harbaugh),2015-> (Harbaugh),"81 (#27 OT), #253 OVR",6'7/290,2016,Grant Newsome,Not Drafted,Not Drafted,4* (#32 OT),Former players,Former players,Offense,"5.8 (#12 OT), #191 OVR",True,OT,27,4.11
T,"0.9089 (#17 OT), #225 OVR",-,Played out eligibility,2009 (Rodriguez),2008-'10 (Rodriguez),"77 (#40 OT), #NR MW",6'7/272,2013,Michael Schofield,1st Day (Rnd 1-3),3rd,"4* (#10 OT), #135 OVR",Former players,Former players,Offense,"5.8 (#18 OT), #221 OVR",True,OT,28,4.07
T,-,-,Degree/Medical,2001 (Carr),1995-'07 (Carr),Lemming: #22 OL,6'6/285,2002,Dan Simelis,Not Drafted,Not Drafted,Superprep: #22 PA,Former players,Former players,Offense,4* (#23 OL),True,OT,29,4.05
T,"0.9057 (#16 OT), #266 OVR","93 (#8 OT), #161 OVR",On Team,2019 (Harbaugh),2015-> (Harbaugh),"79 (#41 OT), #41 MW",6'4/273,On Team,Karsen Barnhart,Still in College,2025,-,Current players,Current players,Offense,"5.8 (#28 OT), #10 MI",True,OT,30,4.03
T,"0.8958 (#26 OT), #320 OVR","90 (#26 OT), #278 OVR",On Team,2020 (Harbaugh),2015-> (Harbaugh),"80 (#36 OT), #55 West",6'7/265,On Team,Jeffrey Persi,Still in High School,2026,-,Current players,Current players,Offense,"5.8 (#33 OT), #26 CA",True,OT,31,4.01
T,"0.8958 (#23 OT), #335 OVR","93 (#12 OT), #140 OVR",On Team,2018 (Harbaugh),2015-> (Harbaugh),"80 (#29 OT), #31 MW",6'7/252,On Team,Ryan Hayes,Still in College,2024,"4* (#21 OT), #270 OVR",Current players,Current players,Offense,"5.6 (#47 OT), #17 MI",True,OT,32,3.99
T,"0.8887 (#27 OT), #329 OVR","92 (#23 OT), not ranked",Played out eligibility,2014 (Hoke),2011-'14 (Hoke),"83 (#11 OT), #142 OVR",6'6/318,2018,Juwann Bushell-Beatty,UDFA,UDFA,3* (#50 OT),Former players,Former players,Offense,"5.7 (#33 OT), #11 NJ",True,OT,33,3.98
T,"0.892 (#32 OT), #316 OVR","88 (#42 OT), #412 OVR",Transfer: playing time,2017 (Harbaugh),2015-> (Harbaugh),"82 (#18 OT), #169 OVR",6'5/282,2017,Ja'Raymond Hall,Still in College,2023,4* (#36 OT),Former players,Former players,Offense,5.6 (#78 OT),True,OT,34,3.89
T,-,BCI: 2nd tm AA,Played out eligibility,1994 (Moeller),1990-'94 (Moeller),"Lemming: #12 TE, #41 MW",6'7/240,1998,Jon Jansen,1st Day (Rnd 1-3),2nd,Superprep: #40 MW,Former players,Former players,Offense,5.7 (#18 TE),True,OT,35,3.87
T,-,"BCI: #7 OL Midwest, All American",Degree and a Handshake,1995 (Carr),1995-'07 (Carr),"Lemming: #NR OT, #62 MW",6'7/280,1998,Jeff Potts,Not Drafted,Not Drafted,Superprep: #36 MW,Former players,Former players,Offense,-,True,OT,36,3.86
T,-,"BCI: #12 OL Midwest, All American",Transfer: playing time,1995 (Carr),1995-'07 (Carr),"Lemming: #22 OT, #37 MW",6'5/275,1995,Ron Acheson,Not Drafted,Not Drafted,Superprep: #41 MW,Former players,Former players,Offense,-,True,OT,37,3.83
T,"0.8850 (#35 OT), #419 OVR","88 (#47 OT), #468 OVR",On Team,2021 (Harbaugh),2015-> (Harbaugh),"78 (#59 OT), #75 East",6'8/285,On Team,Tristan Bounds,Still in High School,2026,-,Current players,Current players,Offense,"5.8 (#25 OT), #2 CT",True,OT,38,3.82
T,"0.8702 (#56 OT), #649 OVR","88 (#45 OT), #1 CT",arriving in fall,2022 (Harbaugh),2015-> (Harbaugh),"78 (#52 OT), #59 East",6'6/285,0,Alessandro Lorenzetti,Still in High School,2026,no ratings,Class of 2022,Commits,Offense,"5.6 (#NR OT), #3 CT",True,OT,39,3.77
T,-,-,Played out eligibility,1991 (Moeller),1990-'94 (Moeller),Lemming: #42 OT,6'7/298,1995,Mike Sullivan,Not Drafted,Not Drafted,-,Former players,Former players,Offense,-,True,OT,40,3.74
T,-,BCI: #8 DL Midwest,Degree/Medical,1995 (Carr),1995-'07 (Carr),"Lemming: #NR DL, #91 MW",6'6/275,1995,Eric Moltane,Not Drafted,Not Drafted,Superprep: #58 MW,Former players,Former players,Offense,-,True,OT,41,3.74
T,"0.8759 (#46 OT), #427 OVR","86 (#78 OT), #791 OVR",Early NFL,2017 (Harbaugh),2015-> (Harbaugh),"80 (#41 OT), #54 East",6'7/285,2021,Andrew Stueber,Still in College,2022,"4* (#24 OT), #248 OVR",Former players,Former players,Offense,5.6 (#74 OT),True,OT,42,3.74
T,-,-,Early NFL,1992 (Moeller),1990-'94 (Moeller),Lemming: #46 OT,6'9/270,1995,Jon Runyan,2nd Day (Rnd 4-7),4th,-,Former players,Former players,Offense,-,True,OT,43,3.71
T,"0.8559 (#85 OT), #966 OVR","85 (#115 OT), #5 CO",On Team,2022 (Harbaugh),2015-> (Harbaugh),"76 (#84 OT), #185 Midlands",6'7/285,0,Connor Jones,Still in High School,2026,"3* , 87, #NR Ovr
 #51 OT, #3 CO",Class of 2022,Commits,Offense,"5.6 (#NR OT), #NR CO",True,OT,44,3.59
T,"0.8292 (#57 OT), #884 OVR",-,Played out eligibility,2006 (Carr),1995-'07 (Carr),"71 (#75 OT), #112 MW",6'7/283,2010,Perry Dorrestein,Not Drafted,Not Drafted,3* (#81 OL),Former players,Former players,Offense,"5.5 (#43 OT), #11 IL",True,OT,45,3.5
T,"0.8403 (#121 OT), not ranked","81 (#160 OT), not ranked",Played out eligibility,2015 (Harbaugh),2015-> (Harbaugh),"76 (#96 OT), #119 East",6'5/276,2019,Jon Runyan Jr.,2nd Day (Rnd 4-7),6th,3* (#39 OG),Former players,Former players,Offense,"5.6 (#45 OG), #15 PA",True,OT,46,3.45
T,"0.8343 (#136 OT), not ranked","84 (#127 OT), not ranked",Degree and a Transfer,2015 (Harbaugh),2015-> (Harbaugh),"78 (#68 OT), #60 MW",6'5/280,2018,Nolan Ulizio,Not Drafted,Not Drafted,3* (#42 OT),Former players,Former players,Offense,5.3 (#NR OT),True,OT,47,3.43
T,"0.8333 (#45 OG), #586 OVR",-,Degree and a Handshake,2004 (Carr),1995-'07 (Carr),"Lemming: #NR OL, #200 SE",6'5/270,2007,Grant DeBenedictis,Not Drafted,Not Drafted,3* (#87 OL),Former players,Former players,Offense,5.5 (#32 OG),True,OT,48,3.38
T,"0.8333 (#61 OT), #736 OVR",-,Played out eligibility,2005 (Carr),1995-'07 (Carr),-,6'7/270,2009,Mark Ortmann,Not Drafted,Not Drafted,3* (NR OL),Former players,Former players,Offense,"5.5 (#43 OT), #90 TX",True,OT,49,3.37
T,"0.8 (#57 OG), #733 OVR",-,Played out eligibility,2002 (Carr),1995-'07 (Carr),Lemming: #22 G/C,6'4/290,2006,Rueben Riley,Not Drafted,Not Drafted,not rated,Former players,Former players,Offense,"5.5 (#32 OG), #10 MI",True,OT,50,3.25
T,"0.834 (#77 OT), #825 OVR",-,Played out eligibility,2007 (Carr),1995-'07 (Carr),"63 (#151 OT), #NR MW",6'6/280,2011,Mark Huyge,Not Drafted,Not Drafted,2* (#31 OC),Former players,Former players,Offense,"5.6 (#65 OT), #19 MI",True,OT,51,3.19
