Position,247 Comp.,247 or Prepstar,Cl1,Era,ESPN/ Lemming,Ht/Wt*1,Last Year1,Name1,NFL Draft (group),NFL Draft1,Offense/Defense,"On3, Scout or Superprep",Past/Present/Future,Past/Present/Future (copy),Rivals or NRA,Pos1,Position (group),UM rk,☆S
TE,"0.88 (#24 TE), #344 OVR",-,2011 (Hoke),2011-'14 (Hoke),"78 (#20 TE), #76 Midlands",6'5/245,2011,Chris Barnett,Not Drafted,Not Drafted,True,3* (#16 TE),Former players,Former players,"5.8 (#14 TE), #224 OVR",TE,Offense,28,3.88
TE,"0.8844 (#36 WR), #272 OVR",-,2007 (Carr),1995-'07 (Carr),"77 (#56 WR), #NR MW",6'4/225,2010,Martell Webb,Not Drafted,Not Drafted,True,4* (#17 TE),Former players,Former players,"5.8 (#29 WR), #12 MI",TE,Offense,29,3.85
TE,-,-,2000 (Carr),1995-'07 (Carr),"Lemming: #21 TE, #130 OVR",6'5/225,2004,Jim Fisher,Not Drafted,Not Drafted,True,Superprep: #45 MW,Former players,Former players,3* (#23 TE),TE,Offense,30,3.85
TE,-,-,1990 (Moeller),1990-'94 (Moeller),Lemming: #16 TE,6'3/240,1993,John Jaeckin,Not Drafted,Not Drafted,True,-,Former players,Former players,-,TE,Offense,31,3.82
TE,"0.8853 (#13 TE), #414 OVR","92 (#7 TE), #156 OVR",2020 (Harbaugh),2015-> (Harbaugh),"76 (#20 TE-Y), #107 East",6'4/230,On Team,Matthew Hibner,Still in College,2025,True,-,Current players,Current players,"5.6 (#35 TE), #17 VA",TE,Offense,32,3.82
TE,-,-,1999 (Carr),1995-'07 (Carr),Lemming: #21 PRO,6'3/225,2003,Andy Mignery,Not Drafted,Not Drafted,True,Superprep: #48 MW,Former players,Former players,3* (#27 QB),TE,Offense,33,3.8
TE,"0.8727 (#48 OT), #448 OVR","86 (#72 OT), #753 OVR",2017 (Harbaugh),2015-> (Harbaugh),"82 (#22 OT), #200 OVR",6'6/278,On Team,Joel Honigford,Still in College,2023,True,3* (#53 OT),Current players,Current players,5.7 (#49 OT),TE,Offense,34,3.78
TE,"0.8934 (#11 TE), #331 OVR","86 (#24 TE), not ranked",2012 (Hoke),2011-'14 (Hoke),"77 (#36 TE), #78 MW",6'6/255,2015,A.J. Williams,Not Drafted,Not Drafted,True,"4* (#27 OT), #225 OVR",Former players,Former players,"5.7 (#22 TE), #26 OH",TE,Offense,35,3.77
TE,-,-,1997 (Carr),1995-'07 (Carr),"Lemming: #NR TE, #",6'3/206,2001,Bill Seymour,Not Drafted,Not Drafted,True,Superprep: #40 MW,Former players,Former players,-,TE,Offense,36,3.77
TE,"0.8667 (#25 TE), #376 OVR",-,2002 (Carr),1995-'07 (Carr),Lemming: #19 TE,6'5/230,2005,Kevin Murphy,Not Drafted,Not Drafted,True,4* (#18 TE),Former players,Former players,"5.6 (#28 TE), #6 MI",TE,Offense,37,3.76
TE,"0.8776 (#29 TE), #540 OVR","88 (#28 TE), #44 GA",2022 (Harbaugh),2015-> (Harbaugh),"78 (#17 TE-Y), #318 SE",6'6/215,0,Marlin Klein,Still in High School,2026,True,"4* , 90, #NR Ovr
 #19 TE, #31 GA",Class of 2022,Commits,"5.7 (#26 TE), #45 GA",TE,Offense,38,3.74
TE,-,-,1993 (Moeller),1990-'94 (Moeller),Lemming:#70 Southwest,6'2/220,1995,Pierre Cooper,Not Drafted,Not Drafted,True,-,Former players,Former players,-,TE,Offense,39,3.65
TE,"0.8653 (#41 WDE), #660 OVR",-,2010 (Rodriguez),2008-'10 (Rodriguez),"78 (#52 DE), #NR East",6'3/225,2013,Jordan Paskorz,Not Drafted,Not Drafted,True,3* (#74 DE),Former players,Former players,"5.6 (#41 WDE), #23 PA",TE,Offense,40,3.61
TE,"0.8333 (#28 WDE), #697 OVR",-,2005 (Carr),1995-'07 (Carr),-,6'3/217,2007,Chris McLaurin,Not Drafted,Not Drafted,True,3* (#58 LB),Former players,Former players,"5.5 (#27 WDE), #7 MI",TE,Offense,41,3.61
TE,"0.8614 (#39 TE), #799 OVR","86 (#41 TE), #895 OVR",2018 (Harbaugh),2015-> (Harbaugh),"77 (#21 TE-Y), #94 East",6'5/225,On Team,Luke Schoonmaker,Still in College,2024,True,"3* (#73 TE), #NR OVR",Current players,Current players,"5.6 (#36 TE), #3 CT",TE,Offense,42,3.55
TE,"0.8494 (#43 TE), #857 OVR","84 (#56 TE), #1216 OVR",2016 (Harbaugh),2015-> (Harbaugh),"77 (#23 TE-Y), #84 East",6'5/230,2019,Sean McKeon,UDFA,UDFA,True,3* (#32 TE),Former players,Former players,"5.6 (#34 TE), #2 MA",TE,Offense,43,3.55
TE,"0.8333 (#38 SDE), #586 OVR",-,2005 (Carr),1995-'07 (Carr),-,6'5/235,2008,Carson Butler,Not Drafted,Not Drafted,True,3* (#46 DE),Former players,Former players,"5.5 (#44 SDE), #12 MI",TE,Offense,44,3.53
TE,-,-,1991 (Moeller),1990-'94 (Moeller),Lemming: #36 PRO,6'5/220,1995,Jay Riemersma,2nd Day (Rnd 4-7),7th,True,-,Former players,Former players,-,TE,Offense,45,3.48
TE,"0.8 (#48 OLB), #812 OVR",-,2002 (Carr),1995-'07 (Carr),-,6'2/215,2006,Brian Thompson,Not Drafted,Not Drafted,True,not rated,Former players,Former players,"5.7 (#31 OLB), #32 MI",TE,Offense,46,3.3
TE,"0.8 (#82 SDE), not ranked",-,2011 (Hoke),2011-'14 (Hoke),"73 (#157 DE), #182 MW",6'3/230,2014,Keith Heitzman,Not Drafted,Not Drafted,True,3* (#63 TE),Former players,Former players,5.5 (#NR SDE),TE,Offense,47,3.19
TE,-,-,1999 (Carr),1995-'07 (Carr),-,6'4/190,2002,Phillip Brackins,Not Drafted,Not Drafted,True,-,Former players,Former players,5.3 (NR LB),TE,Offense,48,2.8
C,-,-,1997 (Carr),1995-'07 (Carr),"Lemming: #2 G/C, #45 OVR, #8 MW",6'3/270,1998,Jason Brooks,Not Drafted,Not Drafted,True,"Superprep: #3 OL, #2 MW",Former players,Former players,6.1 (#NR OL),C,Offense,1,4.8
G,-,BCI: 2nd tm AA,1993 (Moeller),1990-'94 (Moeller),"Lemming: #2 DE, #3 East",6'0/270,1996,Damon Denson,2nd Day (Rnd 4-7),4th,True,"Superprep: #4 DL, #4 PA (AA)",Former players,Former players,-,OG,Offense,2,4.73
G,"0.9796 (#5 OT), #35 OVR","96 (#10 OT), #48 OVR",2016 (Harbaugh),2015-> (Harbaugh),"85 (#4 OT), #50 OVR",6'5/293,2019,Ben Bredeson,2nd Day (Rnd 4-7),4th,True,"4* (#1 OG), #36 OVR",Former players,Former players,"6.0 (#2 OG), #60 OVR",OG,Offense,3,4.72
G,"0.9753 (#3 OG), #49 OVR","96 (#4 OG), #61 OVR",2012 (Hoke),2011-'14 (Hoke),"81 (#10 OG), #132 OVR",6'5/300,2016,Kyle Kalis,UDFA but NFL player,UDFA+,True,"5* (#6 OT), #35 OVR",Former players,Former players,"6.1 (#4 OT), #22 OVR",OG,Offense,4,4.67
G,"0.9793 (#3 OL), #43 OVR","Lemming: #8 OL, # - OVR",2006 (Carr),1995-'07 (Carr),"82 (#11 OT), #135 OVR",6'5/290,2010,Stephen Schilling,2nd Day (Rnd 4-7),6th,True,"5* (#3 OL), #19 OVR",Former players,Former players,"6.1 (#2 OG), #26 OVR",OG,Offense,5,4.67
C,"0.9781 (#1 OC), #44 OVR","96 (#1 OC), #55 OVR",2017 (Harbaugh),2015-> (Harbaugh),"86 (#1 OC), #28 OVR",6'4/315,2019,Cesar Ruiz,1st Day (Rnd 1-3),1st,True,"4* (#2 OC), #98 OVR",Former players,Former players,"6.0 (#1 OC), #41 OVR",C,Offense,6,4.67
C,"0.9783 (#5 OL), #49 OVR","Lemming: #13 OL, # - OVR",2006 (Carr),1995-'07 (Carr),"85 (#2 OG), #71 OVR",6'3/320,2007,Justin Boren,UDFA,UDFA,True,"5* (#7 OL), #42 OVR",Former players,Former players,"6.0 (#1 OC), #64 OVR",C,Offense,7,4.65
G,-,-,1997 (Carr),1995-'07 (Carr),"Lemming: #4 G/C, #9 East",6'3/285,1999,Todd Mossa,Not Drafted,Not Drafted,True,"Superprep: #10 OL, #4 NE",Former players,Former players,6.0 (#3 OG),OG,Offense,8,4.64
C,-,-,1992 (Moeller),1990-'94 (Moeller),Lemming: #1 OC,6'4/280,1996,Rod Payne,1st Day (Rnd 1-3),3rd,True,-,Former players,Former players,-,C,Offense,9,4.6
C,"0.9696 (#1 OC), #68 OVR","94 (#2 OC), #97 OVR",2013 (Hoke),2011-'14 (Hoke),"84 (#3 OG), #101 OVR",6'5/270,2017,Patrick Kugler,Not Drafted,Not Drafted,True,"5* (#1 OG), #27 OVR",Former players,Former players,"6.0 (#6 OC), #82 OVR",C,Offense,10,4.57
G,"0.9589 (#8 OG), #87 OVR","94 (#4 OG), #103 OVR",2013 (Hoke),2011-'14 (Hoke),"83 (#7 OG), #157 OVR",6'5/305,2014,Kyle Bosch,UDFA,UDFA,True,"4* (#3 OT), #49 OVR",Former players,Former players,"5.9 (#7 OT), #104 OVR",OG,Offense,11,4.55
G,-,-,1990 (Moeller),1990-'94 (Moeller),Lemming: #10 DE,6'4/235,1993,Shawn Miller,Not Drafted,Not Drafted,True,-,Former players,Former players,-,OG,Offense,12,4.5
