Year,CBSA,CO1-hr2ndMax,CO8-hr2ndMax,NO298th%ile,NO2AnnualMean,O3 1-hr2nd Max,O3 8-hr4th Max,SO299th %ile,SO2 24-hr2nd Max,SO2AnnualMean,PM2.598th %ile,PM2.5Wtd.Mean,PM10 24-hr2nd Max,PM10Annual Mean,Lead Max3-Mo. Avg
1980,Marion OH,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Marquette MI,0,0,0,0,0.09,0.078,140,15,1,0,0,0,0,0
1980,Mayfield KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Maysville KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,McAllen-Edinburg-Mission TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Medford OR,25.6,15.8,0,0,0.1,0.077,0,0,0,0,0,0,0,0
1980,Memphis TN-MS-AR,16.8,10.7,0,0,0.13,0.099,250,58,14,0,0,0,0,0
1980,Menomonie WI,0,0,0,6,0.12,0.088,0,0,0,0,0,0,0,0
1980,Miami-Fort Lauderdale-West Palm Beach FL,21,14.8,0,0,0.15,0.082,0,0,0,0,0,0,0,0
1980,Michigan City-La Porte IN,0,0,0,0,0,0,120,52,11,0,0,0,0,0
1980,Middlesborough KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Midland TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Milwaukee-Waukesha-West Allis WI,21.1,9.2,0,0,0.14,0.098,192,67,9,0,0,0,0,0
1980,Minneapolis-St. Paul-Bloomington MN-WI,20.5,12,0,0,0.14,0.095,559,172,19,0,0,0,0,0
1980,Missoula MT,22.8,14.7,0,0,0,0,0,0,0,0,0,0,0,0
1980,Modesto CA,16,9,130,34,0.14,0.09,0,0,0,0,0,0,0,0
1980,Monroe MI,0,0,0,0,0,0,153,47,9,0,0,0,0,0
1980,Mount Pleasant TX,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Muncie IN,0,0,0,0,0,0,88,37,0,0,0,0,0,0
1980,Murray KY,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Muscatine IA,0,0,0,0,0,0,91,16,2,0,0,0,0,0
1980,Muskegon MI,14.4,5.6,0,0,0.14,0.107,80,34,11,0,0,0,0,0
1980,Myrtle Beach-Conway-North Myrtle Beach SC-NC,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Napa CA,11,7.8,80,21,0.12,0.082,0,0,0,0,0,0,0,0
1980,Naples-Immokalee-Marco Island FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Nashville-Davidson--Murfreesboro--Franklin TN,16.5,11.5,0,0,0.13,0.085,380,149,17,0,0,0,0,0
1980,New Bern NC,0,0,0,0,0.11,0.085,0,0,0,0,0,0,0,0
1980,New Castle PA,10.3,4,0,0,0.13,0.083,145,67,17,0,0,0,0,0
1980,New Haven-Milford CT,18.6,8.8,0,0,0.24,0.135,110,65,13,0,0,0,0,0
1980,New Orleans-Metairie LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Newport TN,0,0,0,0,0,0,126,37,12,0,0,0,0,0
1980,New York-Newark-Jersey City NY-NJ-PA,24.6,15,0,36,0.19,0.126,172,105,29,0,0,0,0,0
1980,North Port-Sarasota-Bradenton FL,0,0,0,0,0.1,0.061,0,0,0,0,0,0,0,0
1980,Norwich-New London CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Ocean City NJ,0,0,0,0,0.13,0,0,0,0,0,0,0,0,0
1980,Odessa TX,13.8,5.5,0,0,0.1,0.078,0,0,0,0,0,0,0,0
1980,Ogden-Clearfield UT,20,11.6,130,23,0.11,0.083,0,0,0,0,0,0,0,0
1980,Oklahoma City OK,11.3,5.1,0,19,0.12,0.098,0,0,0,0,0,0,0,0
1980,Omaha-Council Bluffs NE-IA,20,6.1,0,0,0.15,0.12,0,0,0,0,0,0,0,0
1980,Orlando-Kissimmee-Sanford FL,17,9.2,0,0,0.09,0.077,0,0,0,0,0,0,0,0
1980,Oshkosh-Neenah WI,0,0,0,0,0.11,0.085,0,0,0,0,0,0,0,0
1980,Ottawa-Peru IL,0,0,0,0,0.1,0,71,21,5,0,0,0,0,0
1980,Owensboro KY,4,3.6,0,0,0.11,0.092,0,0,0,0,0,0,0,0
1980,Oxford NC,0,0,0,0,0.13,0.105,0,0,0,0,0,0,0,0
1980,Oxnard-Thousand Oaks-Ventura CA,22,6.3,0,26,0.18,0.143,0,0,0,0,0,0,0,0
1980,Paducah KY-IL,10,6.9,0,0,0,0,370,93,14,0,0,0,0,0
1980,Panama City FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Payson AZ,0,0,0,0,0,0,1927,233,33,0,0,0,0,0
1980,Pensacola-Ferry Pass-Brent FL,10.2,6.6,0,0,0.12,0.09,287,74,11,0,0,0,0,0
1980,Peoria IL,12.3,5.5,0,0,0,0,66,49,8,0,0,0,0,0
1980,Philadelphia-Camden-Wilmington PA-NJ-DE-MD,14,9.3,160,46,0.22,0.152,170,67,19,0,0,0,0,0
1980,Phoenix-Mesa-Scottsdale AZ,22,18.9,0,0,0.15,0.089,899,100,12,0,0,0,0,0
1980,Pierre SD,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Pine Bluff AR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Pittsburgh PA,17.1,11.5,0,0,0.15,0.11,229,90,26,0,0,0,0,0
1980,Pittsfield MA,0,0,0,0,0.11,0.09,0,0,0,0,0,0,0,0
1980,Platteville WI,0,0,0,4,0.09,0.079,0,0,0,0,0,0,0,0
1980,Pocatello ID,0,0,0,0,0,0,290,83,10,0,0,0,0,0
1980,Ponce PR,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980,Portland-South Portland ME,0,0,0,0,0,0,116,61,16,0,0,0,0,0
1980,Portland-Vancouver-Hillsboro OR-WA,21.7,13.1,0,28,0.1,0.068,60,37,6,0,0,0,0,0
